# Theta (radians)	State 0	State 1	State 2	State 3
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.12822827	0.50000000	-0.49851983	-0.49629003	-0.49774917
0.25645654	1.00000000	-0.99666446	-0.99252110	0.00025340
0.38468481	1.50000000	-0.49925753	-0.49657384	0.49860629
0.51291309	2.00000000	-0.00312915	-0.00139089	0.99733259
0.64114136	2.50000000	0.49097009	0.49226741	1.49639512
0.76936963	3.00000000	0.98227491	0.98356616	1.99571888
0.89759790	3.50000000	1.47066972	1.47226391	2.49521049
1.02582617	4.00000000	1.95748392	1.95951449	2.99476984
1.15405444	4.50000000	2.44512537	2.44752484	3.49429529
1.28228272	5.00000000	2.93541331	2.93792641	3.99368587
1.41051099	5.50000000	3.42865275	3.43088041	4.49284505
1.53873926	6.00000000	3.92419659	3.92565117	4.99168990
1.66696753	6.50000000	4.42124819	4.42141153	5.49016810
1.79519580	7.00000000	4.91919447	4.91758406	5.98828039
1.92342407	7.50000000	5.41762168	5.41386703	6.48609880
2.05165235	8.00000000	5.91624347	5.91015795	6.98376558
2.17988062	8.50000000	6.41482751	6.40644943	7.48146368
2.30810889	9.00000000	6.91313090	6.90271483	7.97936738
2.43633716	9.50000000	7.41083351	7.39879598	8.47759739
2.56456543	10.00000000	7.90746179	7.89430529	8.97620082
2.69279370	10.50000000	8.40233017	8.38856949	9.47515820
2.82102197	11.00000000	8.89463063	8.88073016	9.97440467
2.94925025	11.50000000	9.38392891	9.37024572	10.47385127
3.07747852	12.00000000	9.87102762	9.85775814	10.97339932
3.20570679	12.50000000	10.35812633	10.34527055	11.47294737
3.33393506	13.00000000	10.84742461	10.83478611	11.97239397
3.46216333	13.50000000	11.33972507	11.32694678	12.47164044
3.59039160	14.00000000	11.83459344	11.82121098	12.97059783
3.71861988	14.50000000	12.33122173	12.31672029	13.46920126
3.84684815	15.00000000	12.82892434	12.81280144	13.96743126
3.97507642	15.50000000	13.32722773	13.30906684	14.46533497
4.10330469	16.00000000	13.82581176	13.80535832	14.96303306
4.23153296	16.50000000	14.32443355	14.30164924	15.46069985
4.35976123	17.00000000	13.82600634	13.80536626	15.95851825
4.48798951	17.50000000	13.32806006	13.30919373	16.45663054
4.61621778	18.00000000	13.82511167	13.80495408	16.95510874
4.74444605	18.50000000	14.32065551	14.29972485	17.45395360
4.87267432	19.00000000	14.81389495	14.79267885	17.95311277
5.00090259	19.50000000	15.30418289	15.28308042	18.45250335
5.12913086	20.00000000	15.79182434	15.77109076	18.95202880
5.25735913	20.50000000	16.27863854	16.25834134	19.45158816
5.38558741	21.00000000	15.79024372	15.76964358	19.95107976
5.51381568	21.50000000	15.29893890	15.27834484	20.45040352
5.64204395	22.00000000	15.79303813	15.77200315	20.94946605
5.77027222	22.50000000	16.28916651	16.26718609	21.44819236
5.89850049	23.00000000	16.78657345	16.76313336	21.94654524
6.02672876	23.50000000	17.28471808	17.25936443	22.44454782
6.15495704	24.00000000	17.78323791	17.75565446	21.94679864
6.28318531	25.00000000	18.78255170	18.75379798	20.94797146
